Question,Answer,Class
ትምህርቴን ጥሩ ውጤት ካላመጣሁ ምንድነው?,FX ውጤት ያመጣ ተማሪ ተጨማሪ ፈተና ይወስዳል እናም ያመጣው ውጤት ይመዘገበለታል፣ የ F ውጤት ያስመዘገቡ ደግሞ ያ F ያመጡት ትምህርቱን ይደግማሉ እናም ያመጡት ውጤት ይመዘገብላቿል ነገር ግን ከ C በላይ ውጤት ብያመጡም C ነው ሚመዘገበው።,ውጤት ምድከም
የትምህርት ውጤቴን ዝቅተኛ ከሆነ ምን ኣደርጋለሁ?,FX ውጤት ያመጣ ተማሪ ተጨማሪ ፈተና ይወስዳል እናም ያመጣው ውጤት ይመዘገበለታል፣ የ F ውጤት ያስመዘገቡ ደግሞ ያ F ያመጡት ትምህርቱን ይደግማሉ እናም ያመጡት ውጤት ይመዘገብላቿል ነገር ግን ከ C በላይ ውጤት ብያመጡም C ነው ሚመዘገበው።,ውጤት ምድከም
በኮርስ የተማርኩት ጥሩ ውጤት ካላስመጣሁ ምን ይከሰታል?,FX ውጤት ያመጣ ተማሪ ተጨማሪ ፈተና ይወስዳል እናም ያመጣው ውጤት ይመዘገበለታል፣ የ F ውጤት ያስመዘገቡ ደግሞ ያ F ያመጡት ትምህርቱን ይደግማሉ እናም ያመጡት ውጤት ይመዘገብላቿል ነገር ግን ከ C በላይ ውጤት ብያመጡም C ነው ሚመዘገበው።,ውጤት ምድከም
በኮርስ የተማርኩት ጥሩ ውጤት ካላስመዘገብኩ ምንድ ነው ሚሆነው?,FX ውጤት ያመጣ ተማሪ ተጨማሪ ፈተና ይወስዳል እናም ያመጣው ውጤት ይመዘገበለታል፣ የ F ውጤት ያስመዘገቡ ደግሞ ያ F ያመጡት ትምህርቱን ይደግማሉ እናም ያመጡት ውጤት ይመዘገብላቿል ነገር ግን ከ C በላይ ውጤት ብያመጡም C ነው ሚመዘገበው።,ውጤት ምድከም
በኮርስ የተማርኩት ውጤቴን FX ከሆነ ምንድ ነው ሚሆነው?,FX ውጤት ያመጣ ተማሪ ተጨማሪ ፈተና ይወስዳል እናም ያመጣው ውጤት ይመዘገበለታል፣ የ F ውጤት ያስመዘገቡ ደግሞ ያ F ያመጡት ትምህርቱን ይደግማሉ እናም ያመጡት ውጤት ይመዘገብላቿል ነገር ግን ከ C በላይ ውጤት ብያመጡም C ነው ሚመዘገበው።,ውጤት ምድከም
በኮርስ የተማርኩት ውጤቴን F ከሆነ ምንድ ነው ማደርገው?,FX ውጤት ያመጣ ተማሪ ተጨማሪ ፈተና ይወስዳል እናም ያመጣው ውጤት ይመዘገበለታል፣ የ F ውጤት ያስመዘገቡ ደግሞ ያ F ያመጡት ትምህርቱን ይደግማሉ እናም ያመጡት ውጤት ይመዘገብላቿል ነገር ግን ከ C በላይ ውጤት ብያመጡም C ነው ሚመዘገበው።,ውጤት ምድከም
ምንያህል ክላስ መማር ኣለብኝ?,አንድ ተማሪ ሁሉንም ትምህርቶች፣ ላቦራቶሪ እና ተግባራዊ ትምህርቶች እንዲሁም የመስክ ሥራዎችን መከታተል ይጠበቅበታል ፣ የተሰጠውን ኮርስ ውጤት ለማግኘት ተማሪዎች ቢያንስ 90% የሚሆኑትን የተያዙ ትምህርቶች እንዲማሩ ይጠበቅባቸዋል። ከ 10% በላይ መገኘት ያልቻለ ተማሪ “IA” (ያልተሟላ ተገኝነት) ውጤት ይሰጠዋል እንዲሁም ክፍሎችን ለመከታተል ባለመምጣቱ ለዲፓርትመንቱ / ፕሮግራሙ ተቀባይነት ያላቸው ምክንያቶች እንዲያቀርብ ይጠየቃል።,ክላስ መማር
ስንት ክፍል መማር ኣለብኝ በሰሚስተር ውጤት ለማስመዝገብ?,አንድ ተማሪ ሁሉንም ትምህርቶች፣ ላቦራቶሪ እና ተግባራዊ ትምህርቶች እንዲሁም የመስክ ሥራዎችን መከታተል ይጠበቅበታል ፣ የተሰጠውን ኮርስ ውጤት ለማግኘት ተማሪዎች ቢያንስ 90% የሚሆኑትን የተያዙ ትምህርቶች እንዲማሩ ይጠበቅባቸዋል። ከ 10% በላይ መገኘት ያልቻለ ተማሪ “IA” (ያልተሟላ ተገኝነት) ውጤት ይሰጠዋል እንዲሁም ክፍሎችን ለመከታተል ባለመምጣቱ ለዲፓርትመንቱ / ፕሮግራሙ ተቀባይነት ያላቸው ምክንያቶች እንዲያቀርብ ይጠየቃል።,ክላስ መማር
ስንት ክፍል መማር ኣለብኝ ፈተና ለመፈተን?,አንድ ተማሪ ሁሉንም ትምህርቶች፣ ላቦራቶሪ እና ተግባራዊ ትምህርቶች እንዲሁም የመስክ ሥራዎችን መከታተል ይጠበቅበታል ፣ የተሰጠውን ኮርስ ውጤት ለማግኘት ተማሪዎች ቢያንስ 90% የሚሆኑትን የተያዙ ትምህርቶች እንዲማሩ ይጠበቅባቸዋል። ከ 10% በላይ መገኘት ያልቻለ ተማሪ “IA” (ያልተሟላ ተገኝነት) ውጤት ይሰጠዋል እንዲሁም ክፍሎችን ለመከታተል ባለመምጣቱ ለዲፓርትመንቱ / ፕሮግራሙ ተቀባይነት ያላቸው ምክንያቶች እንዲያቀርብ ይጠየቃል።,ክላስ መማር
ምንያህል የትምህርት ክፍል መማር አለብኝ በ1 ሰሚስተር,አንድ ተማሪ ሁሉንም ትምህርቶች፣ ላቦራቶሪ እና ተግባራዊ ትምህርቶች እንዲሁም የመስክ ሥራዎችን መከታተል ይጠበቅበታል ፣ የተሰጠውን ኮርስ ውጤት ለማግኘት ተማሪዎች ቢያንስ 90% የሚሆኑትን የተያዙ ትምህርቶች እንዲማሩ ይጠበቅባቸዋል። ከ 10% በላይ መገኘት ያልቻለ ተማሪ “IA” (ያልተሟላ ተገኝነት) ውጤት ይሰጠዋል እንዲሁም ክፍሎችን ለመከታተል ባለመምጣቱ ለዲፓርትመንቱ / ፕሮግራሙ ተቀባይነት ያላቸው ምክንያቶች እንዲያቀርብ ይጠየቃል።,ክላስ መማር
ስንት ክላስ መገኘት አለብኝ ትምህርቴን ለመቀጠል,አንድ ተማሪ ሁሉንም ትምህርቶች፣ ላቦራቶሪ እና ተግባራዊ ትምህርቶች እንዲሁም የመስክ ሥራዎችን መከታተል ይጠበቅበታል ፣ የተሰጠውን ኮርስ ውጤት ለማግኘት ተማሪዎች ቢያንስ 90% የሚሆኑትን የተያዙ ትምህርቶች እንዲማሩ ይጠበቅባቸዋል። ከ 10% በላይ መገኘት ያልቻለ ተማሪ “IA” (ያልተሟላ ተገኝነት) ውጤት ይሰጠዋል እንዲሁም ክፍሎችን ለመከታተል ባለመምጣቱ ለዲፓርትመንቱ / ፕሮግራሙ ተቀባይነት ያላቸው ምክንያቶች እንዲያቀርብ ይጠየቃል።,ክላስ መማር
ግሬዴን እንዴት ነው ሚሰራው?,የሰሜስተር ውጤት ነጥብ አማካይ (SGPA) የሚወሰነው በሰሚስተር ውስጥ የተገኘውን ውጤት ነጥቦችን በዚያ ሴሚስተር ውስጥ በተማሩት ሰዓቶች ብዛት(ክሪዲት ሃወርስ) በመካፈል ነው ፡፡ የጠቅላላ ድምር ውጤት ነጥብ (CGPA) የሚወሰነው  ጠቅላላ ውጤት በተገኘው የክፍል ነጥቦች ድምር ሙሉ በሙሉ በተወሰደው ሰዓቶች ብዛት(ክሪዲት ሃወርስ) ሲካፈል ነው።,ግሬድ
የትምህርት ውጤቴን እንዴት ነው ምሰላው?,የሰሜስተር ውጤት ነጥብ አማካይ (SGPA) የሚወሰነው በሰሚስተር ውስጥ የተገኘውን ውጤት ነጥቦችን በዚያ ሴሚስተር ውስጥ በተማሩት ሰዓቶች ብዛት(ክሪዲት ሃወርስ) በመካፈል ነው ፡፡ የጠቅላላ ድምር ውጤት ነጥብ (CGPA) የሚወሰነው  ጠቅላላ ውጤት በተገኘው የክፍል ነጥቦች ድምር ሙሉ በሙሉ በተወሰደው ሰዓቶች ብዛት(ክሪዲት ሃወርስ) ሲካፈል ነው።,ግሬድ
የትምህርት ውጤቴን እንዴት ነው  ሚሰራው?,የሰሜስተር ውጤት ነጥብ አማካይ (SGPA) የሚወሰነው በሰሚስተር ውስጥ የተገኘውን ውጤት ነጥቦችን በዚያ ሴሚስተር ውስጥ በተማሩት ሰዓቶች ብዛት(ክሪዲት ሃወርስ) በመካፈል ነው ፡፡ የጠቅላላ ድምር ውጤት ነጥብ (CGPA) የሚወሰነው  ጠቅላላ ውጤት በተገኘው የክፍል ነጥቦች ድምር ሙሉ በሙሉ በተወሰደው ሰዓቶች ብዛት(ክሪዲት ሃወርስ) ሲካፈል ነው።,ግሬድ
የትምህርት ውጤት እንዴት ነው ሚደረገው?,የሰሜስተር ውጤት ነጥብ አማካይ (SGPA) የሚወሰነው በሰሚስተር ውስጥ የተገኘውን ውጤት ነጥቦችን በዚያ ሴሚስተር ውስጥ በተማሩት ሰዓቶች ብዛት(ክሪዲት ሃወርስ) በመካፈል ነው ፡፡ የጠቅላላ ድምር ውጤት ነጥብ (CGPA) የሚወሰነው  ጠቅላላ ውጤት በተገኘው የክፍል ነጥቦች ድምር ሙሉ በሙሉ በተወሰደው ሰዓቶች ብዛት(ክሪዲት ሃወርስ) ሲካፈል ነው።,ግሬድ
ግሬድ እንዴት ነው ሚሰራው?,የሰሜስተር ውጤት ነጥብ አማካይ (SGPA) የሚወሰነው በሰሚስተር ውስጥ የተገኘውን ውጤት ነጥቦችን በዚያ ሴሚስተር ውስጥ በተማሩት ሰዓቶች ብዛት(ክሪዲት ሃወርስ) በመካፈል ነው ፡፡ የጠቅላላ ድምር ውጤት ነጥብ (CGPA) የሚወሰነው  ጠቅላላ ውጤት በተገኘው የክፍል ነጥቦች ድምር ሙሉ በሙሉ በተወሰደው ሰዓቶች ብዛት(ክሪዲት ሃወርስ) ሲካፈል ነው።,ግሬድ
ግሬድ እንዴት ነው ካልኩሌት ሚደረገው?,የሰሜስተር ውጤት ነጥብ አማካይ (SGPA) የሚወሰነው በሰሚስተር ውስጥ የተገኘውን ውጤት ነጥቦችን በዚያ ሴሚስተር ውስጥ በተማሩት ሰዓቶች ብዛት(ክሪዲት ሃወርስ) በመካፈል ነው ፡፡ የጠቅላላ ድምር ውጤት ነጥብ (CGPA) የሚወሰነው  ጠቅላላ ውጤት በተገኘው የክፍል ነጥቦች ድምር ሙሉ በሙሉ በተወሰደው ሰዓቶች ብዛት(ክሪዲት ሃወርስ) ሲካፈል ነው።,ግሬድ
ምህንድስና ሳጠና ትርፍ ጊዜ ሊኖረኝ ይችላል ?,አዎ! ስለዚ እንዳይጨነቁ መሐንዲሶች በስፖርት ፣ በሙዚቃ ቡድኖች እና በሌሎች ከመደበኛ ትምህርት ውጭ እንቅስቃሴዎች ይሳተፋሉ ፡፡,ትርፍ ጊዜ
ኢንጂነሪንግ እየተማርኩ መዝናናት እችላለሁ?,አዎ! ስለዚ እንዳይጨነቁ መሐንዲሶች በስፖርት ፣ በሙዚቃ ቡድኖች እና በሌሎች ከመደበኛ ትምህርት ውጭ እንቅስቃሴዎች ይሳተፋሉ ፡፡,ትርፍ ጊዜ
ኢንጂነሪንግ እየጠናሁ መዝናናት እችላለሁ?,አዎ! ስለዚ እንዳይጨነቁ መሐንዲሶች በስፖርት ፣ በሙዚቃ ቡድኖች እና በሌሎች ከመደበኛ ትምህርት ውጭ እንቅስቃሴዎች ይሳተፋሉ ፡፡,ትርፍ ጊዜ
ምህንድስና እየተማርኩ በተለያዩ መስክ መሳተፍ ይቻላልን?,አዎ! ስለዚ እንዳይጨነቁ መሐንዲሶች በስፖርት ፣ በሙዚቃ ቡድኖች እና በሌሎች ከመደበኛ ትምህርት ውጭ እንቅስቃሴዎች ይሳተፋሉ ፡፡,ትርፍ ጊዜ
የመጀምርያ አመት ትምህርት ምን ያህል ይጠቅማል ለዲፓርትመንት የምገባው?,ተማሪዎች የምህንድስና ማስተዋወቂያ ትምህርትን ፣ መሰረታዊ የሳይንስ ኮርሶችን ፣ የቋንቋ ትምህርቶችን ፣ የኮምፒተር ትምህርቶችን (ኮርስ) እና የዩኒቨርሲቲ የጋራ ኮርሶችን የሚያጠቃልሉ የምህንድስና መሰረታዊ ነገሮችን በቅድመ ምህንድስና (ፕሪ ኢንጂነሪንግ) መውሰድ አለባቸው ፡፡ እነዚህ ትምህርቶች የምህንድስና ማስተዋወቂያ ኮርሶችን ጨምሮ የተማሪዎችን አጠቃላይ ትምህርት ሰፋ ለማድረግ ይረዳሉ እንዲሁም ተማሪዎች የተለያዩ የመማር ማስተማር ስራዎች ጣዕም እንዲያገኙ ያስችላቸዋል ፡፡ ተማሪዎች በዲፓርትመንት ምርጫ ወቅት በእውቀት ምርጫ እንዲወስኑ የሚረዳቸውን ፣እነዚህን ኮርሶች በማጥናት ጥንካሬዎቻቸውን እና ፍላጎታቸውን በተሻለ ሊረዱ ይችላሉ ፡፡,ፕሪ ኢንጂነሪንግ
የመጀምርያ አመት ጥናት ምን ያህል ጠቃሚ ነው ለምማረው ዲፓርትመንት?,ተማሪዎች የምህንድስና ማስተዋወቂያ ትምህርትን ፣ መሰረታዊ የሳይንስ ኮርሶችን ፣ የቋንቋ ትምህርቶችን ፣ የኮምፒተር ትምህርቶችን (ኮርስ) እና የዩኒቨርሲቲ የጋራ ኮርሶችን የሚያጠቃልሉ የምህንድስና መሰረታዊ ነገሮችን በቅድመ ምህንድስና (ፕሪ ኢንጂነሪንግ) መውሰድ አለባቸው ፡፡ እነዚህ ትምህርቶች የምህንድስና ማስተዋወቂያ ኮርሶችን ጨምሮ የተማሪዎችን አጠቃላይ ትምህርት ሰፋ ለማድረግ ይረዳሉ እንዲሁም ተማሪዎች የተለያዩ የመማር ማስተማር ስራዎች ጣዕም እንዲያገኙ ያስችላቸዋል ፡፡ ተማሪዎች በዲፓርትመንት ምርጫ ወቅት በእውቀት ምርጫ እንዲወስኑ የሚረዳቸውን ፣እነዚህን ኮርሶች በማጥናት ጥንካሬዎቻቸውን እና ፍላጎታቸውን በተሻለ ሊረዱ ይችላሉ ፡፡,ፕሪ ኢንጂነሪንግ
የመጀመርያ ቅድመ ምህንድስና ትምህርት ምን ይጠቅማል?,ተማሪዎች የምህንድስና ማስተዋወቂያ ትምህርትን ፣ መሰረታዊ የሳይንስ ኮርሶችን ፣ የቋንቋ ትምህርቶችን ፣ የኮምፒተር ትምህርቶችን (ኮርስ) እና የዩኒቨርሲቲ የጋራ ኮርሶችን የሚያጠቃልሉ የምህንድስና መሰረታዊ ነገሮችን በቅድመ ምህንድስና (ፕሪ ኢንጂነሪንግ) መውሰድ አለባቸው ፡፡ እነዚህ ትምህርቶች የምህንድስና ማስተዋወቂያ ኮርሶችን ጨምሮ የተማሪዎችን አጠቃላይ ትምህርት ሰፋ ለማድረግ ይረዳሉ እንዲሁም ተማሪዎች የተለያዩ የመማር ማስተማር ስራዎች ጣዕም እንዲያገኙ ያስችላቸዋል ፡፡ ተማሪዎች በዲፓርትመንት ምርጫ ወቅት በእውቀት ምርጫ እንዲወስኑ የሚረዳቸውን ፣እነዚህን ኮርሶች በማጥናት ጥንካሬዎቻቸውን እና ፍላጎታቸውን በተሻለ ሊረዱ ይችላሉ ፡፡,ፕሪ ኢንጂነሪንግ
የፕሪ ኢንጂነሪንግ ትምህርት ምን ይጠቅመኛል?,ተማሪዎች የምህንድስና ማስተዋወቂያ ትምህርትን ፣ መሰረታዊ የሳይንስ ኮርሶችን ፣ የቋንቋ ትምህርቶችን ፣ የኮምፒተር ትምህርቶችን (ኮርስ) እና የዩኒቨርሲቲ የጋራ ኮርሶችን የሚያጠቃልሉ የምህንድስና መሰረታዊ ነገሮችን በቅድመ ምህንድስና (ፕሪ ኢንጂነሪንግ) መውሰድ አለባቸው ፡፡ እነዚህ ትምህርቶች የምህንድስና ማስተዋወቂያ ኮርሶችን ጨምሮ የተማሪዎችን አጠቃላይ ትምህርት ሰፋ ለማድረግ ይረዳሉ እንዲሁም ተማሪዎች የተለያዩ የመማር ማስተማር ስራዎች ጣዕም እንዲያገኙ ያስችላቸዋል ፡፡ ተማሪዎች በዲፓርትመንት ምርጫ ወቅት በእውቀት ምርጫ እንዲወስኑ የሚረዳቸውን ፣እነዚህን ኮርሶች በማጥናት ጥንካሬዎቻቸውን እና ፍላጎታቸውን በተሻለ ሊረዱ ይችላሉ ፡፡,ፕሪ ኢንጂነሪንግ
